filename,sample_rate,duration_seconds,channels,bit_depth,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,tempo,zero_crossing_rate_mean,zero_crossing_rate_std
a0001.wav,2000,35.666,1,PCM_16,110.65558844377445,13.407281144464289,189.546039888756,23.759470957538003,78.125,0.05418526785714286,0.011277521598492565
a0002.wav,2000,20.8285,1,PCM_16,142.80234147412125,24.862613472101092,177.71937746578558,25.69912479175644,78.125,0.07498689977134146,0.012506341602050016
a0003.wav,2000,30.72,1,PCM_16,95.53850440599652,59.645422157656135,151.52407153508224,50.955851208797704,234.375,0.038223140495867766,0.005750834530399709
a0004.wav,2000,35.5965,1,PCM_16,97.09947832835535,21.142528105705075,132.7074549874188,25.6191719534097,58.59375,0.03817661830357143,0.007922587258547869
a0005.wav,2000,35.666,1,PCM_16,66.50527354220064,9.578551124900194,95.7179600567766,20.277302610779138,78.125,0.03449358258928571,0.006122618384190943
a0006.wav,2000,20.759,1,PCM_16,84.41520991921412,14.381459456098929,147.36310423084322,20.689028014217268,78.125,0.03772270388719512,0.005002702921925179
a0007.wav,2000,35.666,1,PCM_16,78.45701259897656,13.333428670866475,97.61654863990896,21.42462225285323,78.125,0.033510044642857145,0.005260356153251995
a0008.wav,2000,35.8055,1,PCM_16,121.81605272908574,42.91056170759567,217.3862817377147,33.823299672669386,78.125,0.03316127232142857,0.008572974065684861
a0009.wav,2000,35.8055,1,PCM_16,227.29938382242986,24.00113434410911,293.69202209624945,27.473466856217044,234.375,0.10226004464285714,0.014370520095908126
a0010.wav,2000,35.736,1,PCM_16,161.6205462414741,74.41097794970521,196.6456321259346,44.213690681977916,78.125,0.0807373046875,0.02866030455509905
a0011.wav,2000,35.5965,1,PCM_16,106.02011765183663,13.87354963823256,120.17031428191424,23.467259391091833,58.59375,0.05857631138392857,0.00776009793792398
a0012.wav,2000,30.8595,1,PCM_16,86.1939895501215,23.264977461733114,116.67975826691634,33.71856474048548,58.59375,0.03894950929752066,0.006005109774205277
a0013.wav,2000,35.666,1,PCM_16,168.35676153505352,26.24523930061997,241.42399146446633,23.34762350726565,234.375,0.1087158203125,0.017446545002695643
a0014.wav,2000,35.736,1,PCM_16,91.90855737346101,24.354621117365387,135.41721470995085,33.059379432702194,58.59375,0.038933454241071426,0.006131106920097918
a0015.wav,2000,35.736,1,PCM_16,118.85538470116755,16.85964110305312,207.261751598803,17.324101547154477,234.375,0.04603794642857143,0.007929398364683227
a0016.wav,2000,30.79,1,PCM_16,81.53039075011219,21.957601934634553,109.09085371633694,30.11066519932614,234.375,0.0390625,0.0040905561198537905
a0017.wav,2000,35.666,1,PCM_16,99.79248142935575,14.289796134712867,133.2120241249726,23.567194832078723,78.125,0.04324428013392857,0.006357631540573714
a0018.wav,2000,20.898,1,PCM_16,67.93855635012264,9.92733514507893,91.82910570709201,21.27829516088953,78.125,0.034846608231707314,0.0036631113618453594
a0019.wav,2000,30.8595,1,PCM_16,83.0020505735882,12.583392409658812,99.0784998975504,18.295170987499866,78.125,0.03852175878099173,0.004781194027244589
a0020.wav,2000,35.666,1,PCM_16,115.0509187812868,18.18202249008535,158.06352828041938,20.013542529644653,78.125,0.04526018415178571,0.0075812633973369155
a0021.wav,2000,35.5965,1,PCM_16,76.22066064166006,12.233918578984232,100.12329545156395,21.217649632822138,234.375,0.03485979352678571,0.004442974723255323
a0022.wav,2000,36.1535,1,PCM_16,117.05299767662227,46.32425872332736,173.68596234015115,44.09863920801402,58.59375,0.04777935189260563,0.013447500804116535
a0023.wav,2000,30.581,1,PCM_16,139.36624668673267,39.14220992804371,177.6953360423866,26.499197948922067,234.375,0.05520833333333333,0.007931811252405592
